,address,business_id,city,latitude,longitude,name,postal_code,review_count,stars,state
3561,4150 Yancey Rd,bfVpHvjir2G2Z9wVeddw4w,Charlotte,35.187442,-80.881973,The Olde Mecklenburg Brewery,28217,365,4.0,NC
3562,16200 Valley Pkwy,mVgkpto3jER8_b3uafg6Bg,Strongsville,41.3220308,-81.8168838,Go Ape,44136,19,4.5,OH
3563,212 W Osborn Rd,Kce3l9cV0mldUaOajdIUlg,Phoenix,33.4879434,-112.0768459,Phoenix Hotel & Suites,85013,9,2.5,AZ
3564,206 N 3rd St,ZLcTzccbEoNkp5_EGKMUnQ,Las Vegas,36.1714321959,-115.14183501,Citrus at the Downtown Grand Pool Deck,89101,45,3.5,NV
3565,3020 E Palmdale Ln,UckGRFSY81WVCRkjqZowww,Gilbert,33.2308491,-111.724411,Ultimate All-Inclusive Travel,85298,3,5.0,AZ
3566,3799 Las Vegas Blvd S,l7FwPwHbfVXx6QNTPotXlw,Las Vegas,36.1022543,-115.1699583,Forever Grand Wedding Chapel at MGM Grand,89109,26,4.5,NV
3567,"34675 Melinz Pkwy, Ste 101",r2EyYdVfNnpvXgvhhiR8QA,Eastlake,41.6389408,-81.4417924,Zero Gravity Xtremes,44095,4,3.0,OH
3568,3340 Sirius Ave,4R_jSUqU4Ofl_ruY9K2DlA,Las Vegas,36.133887,-115.1855541,Desert Outfitters,89102,3,5.0,NV
3569,121 E Sunset Rd,ULAw5sRA8S2H4gK5paywVA,Las Vegas,36.0698799,-115.1664298,Sport Center of Las Vegas,89119,27,2.5,NV
3570,506 Adelaide Street W,qy4WKXTBkqD4zX0rohYF8Q,Toronto,43.6456812,-79.4006895,Forget Me Not Cafe,M5V 1T5,76,4.0,ON
3571,2301 E Yeager Dr,ltGv25YD_1x5eLG35wSCaw,Chandler,33.2803435,-111.8024176,Bounce Jungle,85286,4,4.0,AZ
3572,7582 S Las Vegas Blvd,YuWsWJGN_H0pThcCPjbhKA,Las Vegas,36.0519379,-115.1722398,Vegas Vows For Free,89123,4,5.0,NV
3573,"263 Adelaide Street W, 4th Floor",fts-0WEbU0oFTFcLP74KRw,Toronto,43.6478592,-79.3895905,Loft404 Inspired Gatherings,M5H 1Y2,7,4.0,ON
3574,"100 Princes' Boulevard, 100 Princes' Boulevard",NvHr-z61naBQZnhtILhRDA,Toronto,43.6349629,-79.4126855,Enercare Centre,M6K 3C3,21,4.0,ON
3575,3655 Las Vegas Blvd S,64A4CTvJ2uRQVPkJ5E91ag,Las Vegas,36.1124340072,-115.172601677,Chateau Nightclub & Rooftop,89109,483,3.0,NV
3576,7260 S Cimarron Rd,5_ymZOB8eIfi6nzzL5-SbQ,Las Vegas,36.0562842827,-115.269031776,Born And Raised,89113,485,3.5,NV
3577,"4265 Arville St, Ste A",oeRLD870Z76FD1OYW8jbSQ,Las Vegas,36.1126243,-115.1996417,Pole Fitness Studio,89103,168,5.0,NV
3578,"4305 Dean Martin Dr, Ste 120",Ojjbjg1DGaq8sIMmK6VR0w,Las Vegas,36.1111086,-115.1817547,Royalty Exotic Car Rentals,89103,87,5.0,NV
3579,I-80/90 Eastbound,oDmODnm0T-8LICj8a9Z35Q,Amherst,41.3779162809,-82.2240671888,Vermillion Valley Travel Plaza,,4,4.0,OH
3580,5517 William Flynn Hwy,CZ8LgVpvieYAYXhUUZ-iHA,Gibsonia,40.6273735,-79.942398,Atria's Restaurant & Tavern,15044,24,2.5,PA
3581,3457 Bathurst Street,yRcxrCvF9uhHsbS8yEl3UA,North York,43.7284256,-79.4315767,Milk'n Honey,M6A 2C5,3,4.5,ON
3582,"301 Grant St, Ste 411, One Oxford Centre",vXpB8lRDXaWwwbmT3CAQwQ,Pittsburgh,40.4380067,-79.9988746,Rivers Club,15219,15,4.0,PA
3583,3346 Little Rock Rd,TIfXGbQj7Np0Eo34FRzmuw,Charlotte,35.230967,-80.9462379,Charlotte Airport Authority,28202,11,2.5,NC
3584,3570 Las Vegas Blvd S,UWnZkr-7wFj1l3q-Yb4sog,Las Vegas,36.1161559,-115.1750576,Hertz Rent A Car,89109,4,3.5,NV
3585,10 E Thomas Rd,Q19in1MFBw1V1gaUILvIeQ,Phoenix,33.480701,-112.0722172,Hilton Phoenix Suites,85012,83,3.5,AZ
3586,"1928 E Highland Ave, Ste F-107",kne4oWWLq0FFHLA-gWuqoQ,Phoenix,33.5058728555,-112.041342258,Daily Dose Midtown,85016,331,4.0,AZ
3587,Bridge Street,6_CLC99-LkZgD4pEm1VA0g,Whitby,54.4871409,-0.6120909,The Dolphin Hotel,YO22 4BG,3,2.5,NYK
3588,,w2P4TC9k372P_ZUyXIyzPA,Toronto,43.6804540635,-79.3373174084,Donlands Subway Station,,3,3.0,ON
3589,Konrad-Adenauer-Str. 16,HomE9qQIusSGO4_127RWjQ,Stuttgart,48.7788960493,9.1855257447,Haus der Geschichte Baden-Württemberg,70173,5,4.5,BW
3590,8260 Haven St,GRwFzsA_RoLRpndoYI2RLA,Las Vegas,36.039477,-115.16724,Somersault Letterpress,89123,3,3.5,NV
3591,744 Bathurst Street,BTtw9tkW4fw41L4s_PasrA,Toronto,43.6639823,-79.4109262,Caribbean Roti Palace,M5S 2R6,47,4.0,ON
3592,"17255 N 82nd St, Ste 135",rOk86uvcnKjKSKE63sASOA,Scottsdale,33.6424446,-111.9016368,Tony Mandarich Creatives,85255,4,5.0,AZ
3593,91 Ossington Avenue,xi109DyT11hpD93z4FAHug,Toronto,43.6462047,-79.4195567,Crywolf,M6J 2Z2,7,4.0,ON
3594,"3615 Laird Road, Units 15-16",IWBbapAdi9N7cYwcj1immA,Mississauga,43.5205139,-79.7037082,Balls of Fun,L5L 5Z8,10,4.0,ON
3595,200 North Main St,4a7qlJHmi0ZN03c5P0gMQQ,Las Vegas,36.175,-115.136389,Advantage Rent A Car,89119,12,2.0,NV
3596,737 Butler St,9DrQTv-lpL1bf_CiY4XL4Q,Pittsburgh,40.507348,-79.946267,Enterprise Rent-A-Car,15223,5,3.0,PA
3597,"428 E Thunderbird Rd, Ste 424",OPPgxUzAx44Qdx9qsOZgqQ,Phoenix,33.6088111,-112.0669661,Big Cuz's Catering,85022,4,5.0,AZ
3598,459 Oakwood Avenue,ldA_ccSG_mUPSfbv9jymKw,Toronto,43.6698954,-79.4670604,Limousine Service Toronto,M6N 2V7,3,3.5,ON
3599,"8271 W Lake Pleasant Pkwy, Ste 101",XIlJMEnUdUy9rfEKTEi9eA,Peoria,33.669419,-112.2387791,The Cookie DoughJo,85382,5,5.0,AZ
3600,2895 S Alma School Rd,y3bMutme81x4PUhb0zaC_A,Chandler,33.263962,-111.857826,Dilly's Deli,85286,62,3.5,AZ
3601,"3565 Las Vegas Blvd S, Ste 184",jkf5g2CUcf4BKZb_rCn4Rw,Las Vegas,36.1237084,-115.1703006,Top Banana Photography,89109,5,5.0,NV
3602,Tübinger Str. 17b,PzeT1cLDomS89YNP-N8fng,Stuttgart,48.77191,9.17449,Hotel Merit,70178,10,2.5,BW
3603,1684 Queen Street E,_z2ex518em1dj-1B1E4XGg,Toronto,43.6673767,-79.3134589,Days Inn Toronto-Beaches,M4L 1G6,3,2.0,ON
3604,3601 W Indian School Rd,nMIbCxC015Ojzk5YwBuFAg,Phoenix,33.4948130501,-112.137296894,U-Haul at Grand Ave & Indian School,85019,6,3.5,AZ
3605,7533 W Thomas Rd,ELJuZejSj1JSNjEjhngXPw,Phoenix,33.4797966825,-112.222302602,Eduardo's Reception Hall,85033,3,3.5,AZ
3606,3471 Fairmount Blvd,M6PLDiKmYgVLPkP2xPg0dA,Cleveland,41.4867294,-81.5550691,Fairmount Letters,44118,3,2.0,OH
3607,1225 S Main St,KjLplOt17K1FNfLaK891Mg,Las Vegas,36.1565775,-115.1535613,Amberjoy's Vintage Closet,89104,20,4.5,NV
3608,,letRlza38L86aafEaugsGA,Phoenix,33.4382789,-112.0178286,Arizona Brewery Tours,85034,20,5.0,AZ
3609,5929 Darrow Rd,DdOb4GoIrlFr7jqLNfLq9w,Hudson,41.2266229,-81.439527,Nosh Eatery & Creative Catering,44236,59,4.5,OH
3610,20121 Van Aken Blvd,jIc8lKpK0S265D18cgQKEw,Shaker Heights,41.4765142187,-81.5521733012,The Pearl,44122,28,3.0,OH
3611,23-27 Waterloo Place,4ZWaYiCN9_WwWLIZdF801g,Edinburgh,55.9540489924,-3.1866126434,Apex Waterloo Place Hotel,EH1 3BH,26,4.0,EDH
3612,"2 Henderson Road, Longman Estate",GE9VTW4n_yIeGXdl0Htc-Q,Inverness,57.4886465316,-4.2198410755,Tiso Inverness Outdoor Experience,IV1 1SN,4,4.0,HLD
3613,100 E McDowell Rd,uYAR5Z9Y5WkY4X2YZ258TA,Phoenix,33.4663026,-112.0721778,Phoenix Theatre,85004,63,4.5,AZ
3614,17105 E Shea Blvd,Kb3ckrwMYyTkNKfJhxp_Jg,Fountain Hills,33.572062,-111.713851,Comfort Inn Fountain Hills - Scottsdale,85268,17,3.0,AZ
3615,2201 W Melinda Ln,qk6GznRuKZZIzGuFN8YTTw,Phoenix,33.6816423,-112.1067539,Fat Freddy's Catering,85027,31,5.0,AZ
3616,5802 University Blvd,9id845z7DYfZDLHdBKVExQ,Moon Township,40.5227383,-80.218333,Moon Township Honda,15108,7,1.5,PA
3617,"7135 E Camelback Rd, Ste 195",wUKzaS1MHg94RGM6z8u9mw,Scottsdale,33.500191,-111.928395,Olive & Ivy,85251,1495,4.0,AZ
3618,6114 North Scottsdale Rd,lGQBELdN69JyjF8-3_mE4w,Scottsdale,33.5270828,-111.928609,Turquoise Bar @ The Andaz,85253,3,5.0,AZ
3619,"2375 E Tropicana Ave, Ste 4",8lD88aV9x8Vsr2Sp_pIAqQ,Las Vegas,36.09949,-115.120338,Optionz Fashion Lounge,89119,3,5.0,NV
3620,"6680 W Flamingo Rd, Ste 12",4UvQ0BUbqlNPJbAggsi0eA,Las Vegas,36.1150682,-115.2378723,Delightful Chefs,89103,14,5.0,NV
3621,1402 Queen Street E,Wfrls_OWWbVHFGGak2PHig,Toronto,43.6647558,-79.3242952,Yoga Yoga East,M4L 1C9,3,3.5,ON
3622,113 Lake Mead Pkwy,lxutwEfQcEd-7F_vGuLZdw,Henderson,36.0394865,-114.9819755,Pure Energy Productions Mobile DJ' s,89015,7,5.0,NV
3623,"6925 E 5th Ave, Ste 112",2VrmLQR0pDX41og4mQeJkA,Scottsdale,33.4961092,-111.9318974,Be In Love Designs,85251,49,4.5,AZ
3624,3645 Las Vegas Blvd S,2HIhAc5SWb9GUOru_Vc5zQ,Las Vegas,36.1143212,-115.1708662,Blu Pool at Bally's,89109,48,3.5,NV
3625,5165 Dixie Road,AR76vawY1ohkXcwuuNF_Sw,Mississauga,43.6390985,-79.6245065,17 Steakhouse and Bar,L4W 4G1,30,4.0,ON
3626,18919 W Catawba Ave,2PIBcBL_UmKdgqahhIFb5A,Cornelius,35.4713848476,-80.8919556141,Wher-rena Boatland,28031,3,1.0,NC
3627,66 Norfinch Drive,jNPXarCodVqCdveyGkkOxw,North York,43.757426,-79.529322,Comfort Inn,M3N 1X1,4,3.0,ON
3628,13020 N Bush Hwy,C0ReT85AkN1WjbydE0l3yA,Mesa,33.5617356844,-111.535881311,Saguaro Lake Guest Ranch,85215,28,5.0,AZ
3629,5165 W Oquendo Rd,h6r2oMpHaJy-cA38LuqkxQ,Las Vegas,36.08167,-115.2118264,Soirées Event Planners & Caterers,89118,8,3.5,NV
3630,23b Shandwick Place,bkAPqk77L_Z41dVTkepcQA,Edinburgh,55.9496798,-3.2086923,PDT Mezcaleria,EH2 4RG,3,3.0,EDH
3631,3937 North Brown Ave,OwTVM5D35QQlwnzEodMZeQ,Scottsdale,33.4933592,-111.9242192,Scottsdale Southwest,85251,7,4.0,AZ
3632,Kocherstr. 30,pTzmpX-rJKaQf6wUB2Z7Aw,Stuttgart,48.820188,9.222947,Dani Coiffeur & Esthetique,70376,4,5.0,BW
3633,801 North 44th St,7XgrpRzI2DsOlzjj7ibQpw,Phoenix,33.4565524667,-111.986581609,Residence Inn Phoenix Airport,85008,38,3.0,AZ
3634,5737 Boulevard Décarie,VxjLHxV251By-qD0vGie_Q,Montréal,45.488,-73.6378,Fressers,H3W 3C8,3,2.5,QC
3635,6425 E Thomas Rd,rgkiZQF5GUiMEM2xa83grQ,Scottsdale,33.4798077,-111.9413134,Platinum Rides,85251,38,4.0,AZ
3636,4253 N Scottsdale Rd,Zq8jtkhZu36aJPrYB8d3YQ,Scottsdale,33.4981523,-111.9257253,Travelex,85251,5,2.5,AZ
3637,256 E Main St,KpPfiFyUW14DeAuRJugLyg,Mesa,33.4152304,-111.8234333,Arizona RV Supercenter,85201,25,4.0,AZ
3638,4770 Steubenville Pike,RzPWk7omHWMl_DMoRitQSA,Pittsburgh,40.448551,-80.104204,Comfort Inn,15205,12,3.5,PA
3639,1421 Highway 29 N,mqxyOALTtcadnRjBdWsMtA,Concord,35.43743,-80.604928,Enterprise Rent-A-Car,28025,5,3.0,NC
3640,"1950 E Watkins, Ste 160",qQIkZF4Y4RDeX4TFLCJBgQ,Phoenix,33.426197,-112.039671,Arizona Shuttle,85034,55,3.0,AZ
3641,,ahk1tAGLp-dpnRnJoweM0Q,Henderson,36.0633189,-115.0525302,July Castle Photography,89014,5,5.0,NV
3642,14519 Madison Ave,_SZ9u6LAn_KSXUe5GWrRcA,Lakewood,41.476932,-81.796463,Cottage of Flowers,44107,13,4.0,OH
3643,"114 W Adams St, Ste 107",sTQtPP7xOnvHnJ5iY1PMnQ,Phoenix,33.4495994,-112.0754187,John & Kathy's Shop,85003,7,3.0,AZ
3644,8710 Research Dr,_1t-Cxb39F43ta-rtN_hfg,Charlotte,35.3152739117,-80.7617638912,TownePlace Suites Charlotte University Research Park,28262,16,2.5,NC
3645,5380 Boulevard Saint-Laurent,KKoccufmPJ9oNZ2pjtSLJA,Montréal,45.524868,-73.597298,Les Impertinentes,H2T 1S1,3,3.5,QC
3646,529 S Country Club Dr,Ywz335Xo16b20kXUZFmG0A,Mesa,33.4051714,-111.8395303,Budget Car Rental,85210,11,1.5,AZ
3647,3622 N Scottsdale Rd,lLBxP1GjWrT2xApcttyXDA,Scottsdale,33.4901571,-111.9263147,Tour De Tavern,85257,69,4.5,AZ
3648,120 Church Street,bG5rNs43uFjYUxgY5sV9fQ,Toronto,43.652441,-79.375452,Goodhandy's,M5C 2G8,7,3.5,ON
3649,"4500 W Charleston Blvd, Ste A",Z9WXuLDdAArVwWMABkCc2Q,Las Vegas,36.159323,-115.201699,Bridal Galleria At Tux One,89102,7,2.5,NV
3650,111 Matthews Station St,AWaxaKm_YgTkxbW8kjsmdg,Matthews,35.117562,-80.720445,Moe's Original Bar B Que,28105,142,4.0,NC
3651,228 E Lincoln,joIZbPR6H-2MTGQGLzCXsA,Saint Joseph,40.111621,-88.041188,Geschenk Boutique,61873,4,5.0,IL
3652,312 W Green St,O1xMVmaQIluqgBQqlR-Oqw,Champaign,40.1101535,-88.2475493,Sylvia's Irish Inn,61820,3,5.0,IL
3653,5111 Boulder Hwy,PSehpYrCFJ11-Z82w2JChA,Las Vegas,36.111852,-115.060996,Sam's Town Live,89122,4,4.0,NV
3654,4226-A South Blvd,kz0f-r0feMKP9DkACnkJFQ,Charlotte,35.185656,-80.876054,Triangle Rent A Car,28209,3,4.5,NC
3655,664 Bloor Street W,7Kg-9MoGN1IlhMESAt8_Jg,Toronto,43.6642271,-79.4161293,The Grill Pit,M6G,4,3.5,ON
3656,175 Derry Road E,wc283PoGTUyDZAPfMFSwlA,Mississauga,43.650461,-79.702164,Park Inn by Radisson,L5S 1Y9,18,2.5,ON
3657,3600 N 2nd Avenue,qEy8B6vZSe1fdy_vmB7qNw,Phoenix,33.4887405,-112.0770647,Wyndham Garden Phoenix Midtown,85013,92,2.5,AZ
3658,4301 N Civic Center Plz,goi1r30_CjH9TymbMs9OwQ,Scottsdale,33.499172,-111.921134,The Toasted Cork,85251,100,4.0,AZ
3659,4130 N Marshall Way,2ksAPIhObAGEaYU4Y3ZbpA,Scottsdale,33.4956516,-111.9292334,The Paper Place,85251,15,3.5,AZ
3660,315 Queen Street E,LiTnnzOJR4NRuFW1NxfPsw,Toronto,43.6550503,-79.3658426,'1871' Berkeley Church,M5A 1S7,12,4.0,ON
3661,15784 N Frank Lloyd Wright Blvd,EYB3LarwcnLKeXqbWVPvRA,Scottsdale,33.6291818,-111.8890232,Boston Market,85260,26,3.0,AZ
3662,10255 W Papago Fwy,b7bVC0N3NTvSJXS8_pHzkw,Avondale,33.4595569,-112.2827555,Camping World of Avondale,85323,50,2.5,AZ
3663,"1000 N Green Valley Pkwy, Ste 620",-cMZseG83WjioeJytzrM3g,Henderson,36.0290343281,-115.084402311,AAA-Green Valley,89074,12,3.0,NV
3664,303 Park Manor Drive,Bz__Pgp72wBuBkVMY-Hq3A,Pittsburgh,40.4505123,-80.1641401,Hilton Garden Inn Pittsburgh Airport South - Robinson Mall,15205,6,4.5,PA
3665,100 Simcoe Street,FkJTuuqeJL4jHi2FojX_fg,Toronto,43.6483301,-79.3867668,Fune Japanese Restaurant,M5H 3G2,116,3.5,ON
3666,"320 Broadway Ave, Ste A",5O1l8b23r6GIIr2ZHy6nkg,Bedford,41.3994317,-81.546016,Zeppe's Pizzeria,44146,7,3.0,OH
3667,"849 E Washington St, Ste 116",vxByu2zWCbv1qMRf3kOW6g,Madison,43.081976274,-89.3733214763,Bos Meadery,53703,21,4.5,WI
3668,800 Rock Run Rd,dAa0hB2yrnHzVmsCkN4YvQ,Elizabeth,40.2678354,-79.8125871,Rock Run Inn,15037,6,4.5,PA
3669,"6003 S 40th St, Ste 1",PqhY8wA2LeIXoKSE8P5gww,Phoenix,33.3922292,-111.9942296,Shell Vacations Hospitality,85042,5,1.0,AZ
3670,431 Queen Street E,HzsPwtvOHBjPIG21L2IZzQ,Toronto,43.6561374,-79.3607211,Advantage Car & Truck Rentals,M5A 1T5,11,2.5,ON
3671,2850 Medina Rd,B_wz5DFPuYBLedrk8XW6jA,Medina,41.1353951,-81.790136,Holiday Inn Express,44256,3,4.0,OH
3672,"2101 E Lake Mead Blvd, Ste A",LfK_73J__0UMczYujudgfA,North Las Vegas,36.1957398,-115.1198139,Flower Art,89030,16,3.5,NV
3673,1015 Weber Ct,G5f911mnOvWcxi8bNobERA,Charlotte,35.160299,-80.765912,Monkey Business Events & Entertainment,28211,4,2.0,NC
3674,"2923 N 67th Pl, Ste 5",WoC72qWPcy7ILaACcZyWVg,Scottsdale,33.481175796,-111.935665466,All Hail The Hair,85251,6,5.0,AZ
3675,18 St Thomas Street,3Nw_mnpdpqtAJ5bRt0jsvw,Toronto,43.6688084,-79.3905524,Windsor Arms Hotel,M5S 3E7,38,3.0,ON
3676,121 Costco Dr,h5PKBY4jvOwuyYb5Dtr6jA,Pittsburgh,40.457783,-80.167916,Chick-fil-A,15205,23,4.0,PA
3677,2550 Chandler Ave,9QdQo1QyIVuffV-OORBd-w,Las Vegas,36.0744587,-115.1139653,Southwest Solar Screens,89120,5,4.0,NV
3678,4119 South Stream Blvd,nfMv23QJ5Y727CTomzKERw,Charlotte,35.1822292,-80.9192433,Hyatt Place Charlotte Airport/Lake Pointe,28217,28,4.0,NC
3679,37 King Street E,s_bx5mxoEYYn1-y8oE4JyQ,Toronto,43.6491352,-79.37621,The Omni King Edward Hotel,M5C 1E9,78,4.0,ON
3680,"5161 Montville Drive, I71 and Hwy 18",ETjqBvSXxQrVA_wj0tEKbQ,Medina,41.134481,-81.7918677,Super 8 Medina,44256,3,3.0,OH
3681,740 Lysle Blvd,UvfBeHic40rwnxFBvfAP5A,McKeesport,40.35185,-79.857122,KFC,15132,3,2.0,PA
3682,720 Bathurst St,pFW0GHcSwE725lTxRbsDzg,Toronto,43.6631917,-79.4108063,The Centre for Social Innovation Annex,M5S 1Z5,8,4.0,ON
3683,3570 Las Vegas Blvd S,yt1HMXF-dUfUEZQQtv16Ew,Las Vegas,36.1168506338,-115.175495425,Nobu Hotel at Caesars Palace,89109,187,3.5,NV
3684,209 S Broadway Ave,G_ly5CisletsxEoJImPBhw,Urbana,40.111028,-88.207883,Historic Lincoln Hotel,61801,5,2.0,IL
3685,,lxHUDCWTnn0snoAoeDrHwg,Las Vegas,36.1697096,-115.1236952,A1photoz,89101,3,3.5,NV
3686,"2855 W Cactus Rd, Ste 8",-8QqdsogphMvQni14ZVXuQ,Phoenix,33.5961902,-112.1206299,Batter's Box Baseball Cards & Stuff,85029,8,5.0,AZ
3687,2335 Noblestown Rd,tpBKyZMuqUfMbUs1l4UJ1w,Pittsburgh,40.427573,-80.054076,Enterprise Rent-A-Car,15205,5,4.0,PA
3688,"7620 E McKellips Rd, Ste 15",FJNmSAHqfXIAh0JNc0ObxQ,Scottsdale,33.4517152452,-111.916323262,Lockdown Escape Rooms - Scottsdale,85257,23,4.0,AZ
3689,"249 Queens Quay W, Suite 111",-KumBREIC1QopcrWHxmAgw,Toronto,43.6388201,-79.3856074,Cruise Toronto,M5J 2N5,3,2.5,ON
3690,"5533 E Bell Rd, Ste 116",xEwbqin2loUzJq6knfdnCA,Scottsdale,33.6399173,-111.9617682,Lorna's Heavenly Skin Studio,85254,20,5.0,AZ
3691,1418 S 3rd St,MALhAxVbn7VQ7hJ4DDyifA,Las Vegas,36.1539682,-115.1516094,Star Motel,89104,4,4.0,NV
3692,260 North Shore Dr,2d2TUrzIMou5zHSbzQsvyg,Pittsburgh,40.4466866,-80.0089281,Hyatt Place Pittsburgh/North Shore,15212,60,3.0,PA
3693,50 Tank House Lane,a_Ae4lBAaUFfk-KjJ1eM5g,Toronto,43.6508509,-79.3574587,Young Centre for the Performing Arts,M5A 3C4,4,3.5,ON
3694,2155 Mcnicoll Avenue,3ktJuHF4ZElnWaBznahErg,Scarborough,43.8132778,-79.295367,Brighton Convention and Event Centre,M1V 5P1,9,4.0,ON
3695,1920 Columbus Rd,OHTl0oCUosi8l9riqyFMwA,Cleveland,41.4872981,-81.7004559,Be Adventurous,44113,3,5.0,OH
3696,2599 Boulevard Alfred Nobel,ahsPxnCRUsjQLkWWSnARog,Montréal,45.4878354098,-73.7618325171,Novotel Montreal Airport,H4S 2G1,18,3.0,QC
3697,1035 Washington Pike,sxQrSzv4SS4b6o3tgmWS7A,Bridgeville,40.3646654907,-80.1106203477,Chuck E Cheese's,15017,11,3.0,PA
3698,5843 Darrow Rd,NnOAwa0A2tNPnZl9IHVLPQ,Hudson,41.2240502412,-81.4399197615,Zeppes Pizzeria & Italian Bistro,44236,58,3.5,OH
3699,191 Eglinton Avenue E,nB3iMwULrx1HR0s1bn1LRg,Toronto,43.7080015,-79.3916751,Flowers Of The World,M4P 1K1,4,4.0,ON
3700,346 E Palm Ln,HizuytxR0rUJ9_G34yuvCg,Phoenix,33.4694647,-112.0672958,Limo Lux USA,85004,9,1.0,AZ
3701,5403 Boul St Laurent,Ex-xm4hEhlcuArqU1GTEWQ,Montréal,45.525095,-73.597162,Enterprise Rent-A-Car,H2T 1S5,5,4.0,QC
3702,8355 S Dean Martin Dr,KSRBPWOSqxclHkDd23P7CQ,Las Vegas,36.0370714,-115.1870663,Dean's Place,89101,75,3.5,NV
3703,2544 Speers Road,p2py4Upkh5U5xTjstlx-ew,Oakville,43.4028652,-79.7302602,Bronte Sports Kitchen,L6L 5W8,3,3.5,ON
3704,,7Ye39RJ0XBR8j1IPlQi27Q,Scottsdale,33.5388471,-111.9641728,Traveling Caddy,85253,16,5.0,AZ
3705,"244 Center Rd, Ste 102",Y9cjQgho2Bua9KpyEz4AgQ,Monroeville,40.441466,-79.765989,Passport Health: Monroeville,15146,3,3.5,PA
3706,8 Clarence Sq,tbJRtCg3CQT_x7aWws8sLg,Toronto,43.6447961,-79.3937265,Clarence Castle,M5V 1H1,12,4.0,ON
3707,,Iad1sOol_dVWd8KVpULGIw,Gilbert,33.3345698,-111.7383162,Distinctive Wedding Videos,85296,5,5.0,AZ
3708,,HkqaMu-t208OAJ8HNcS9Jw,Scottsdale,33.4986286,-111.9224398,Uber Airport,85251,4,2.0,AZ
3709,690 Crosswinds Dr,ybBr1jAJBsZBiwhqpqK1Ww,McMurray,40.267942,-80.1250156,Goldfish Swim School-Peters Township,15317,5,4.5,PA
3710,5200 Baum Blvd,L5wNKBuK6-tj7cfFMmgv1A,Pittsburgh,40.4555475,-79.9415246,Boston Market,15224,18,4.0,PA
3711,5670 Wallings Rd,j355XjMOiu4WN14dfe3eyw,North Royalton,41.330342,-81.726607,Talerico,44133,4,4.0,OH
3712,15389 W McDowell Rd,3wOoX-Bc9NLfe5rLfL3ARQ,Goodyear,33.462724,-112.3901699,Party City,85338,17,2.5,AZ
3713,12800 N Saguaro Blvd,RGv67zRQpd6voSYgH60hjA,Fountain Hills,33.602424,-111.716636,Holiday Inn Hotel & Suites,85268,7,2.5,AZ
3714,4126 E Valley Auto Dr,aSB_HTwUzvN50-Rv9YiWSg,Mesa,33.3826957,-111.7445616,AAA Mesa Office,85206,57,4.0,AZ
3715,5300 Riverside Dr,tkQxMSCsMooXE6UZ906Fjg,Cleveland,41.4106123,-81.838659,Sheraton Cleveland Airport Hotel,44135,81,3.5,OH
3716,2777 E Carson St,N7j_rJ0Vlwb-Gf-6cy4uiw,Pittsburgh,40.4264892842,-79.9657487869,QDOBA Mexican Eats,15203,24,2.5,PA
3717,50 N Rocky River Dr,UObah0uXIUdXioB5ZpuqCw,Berea,41.3700887,-81.8546186,Riverside Gables Bed and Breakfast,44017,6,5.0,OH
3718,13000 Autoroute Côte-de-Liesse,Cc_xsRheNy9hOxOIurH2Kg,Dorval,45.450345,-73.740655,Hôtel MTL Express - Aéroport de Montréal,H9P 1B8,5,2.5,QC
3719,456 Vodden St E,RObKLZrBsCIEOWb6sbwfEw,Brampton,43.7139426,-79.7467496,Fur Babies,L6S 5Y7,3,4.5,ON
3720,2401 Smallman St,Z1XXRz6n1XGauj88W2LL_w,Pittsburgh,40.454384,-79.981477,Wigle Whiskey,15222,117,4.5,PA
3721,,xZlUykq9UzBUbROIPxi-tA,Las Vegas,36.1988542,-115.2659777,Clever Chefs,89128,6,4.5,NV
3722,,Pa6t5B0u0zGbLexPH0XD9g,Surprise,33.4334649,-112.3278161,Elite Event Services,85379,3,5.0,AZ
3723,12805 N Tatum Blvd,vjN9OONB8Yqf2COy7tIUNQ,Phoenix,33.6021495,-111.9765435,99 Cents Only Stores,85032,12,3.5,AZ
3724,4234 S 48th St,Cnk003ELvUdl-TBdpzWwjQ,Phoenix,33.408483,-111.9789861,GreenTree Inn & Suites Phoenix,85040,35,4.0,AZ
3725,3501 N Durango Dr,Z70uWSYfXlPObNRyLK9MeQ,Las Vegas,36.2232474,-115.2801275,Durango Hills Golf Club,89129,17,3.5,NV
3726,,q1Mzg7Zv17dZEA5vRCm6Zg,Gilbert,33.3519301,-111.8210866,Ashley Marini Photography,85233,4,5.0,AZ
3727,"314 N College St, District 300",TM7homn9rPMQcwYIkeDwKg,Charlotte,35.270692,-80.733765,Re Public,28202,7,3.0,NC
3728,200 North Centennial Way,_p7cdfl_fscg3TtcaQzh5Q,Mesa,33.4198772,-111.8286055,Phoenix Marriott Mesa,85201,65,3.0,AZ
3729,4150 W Peoria Ave,TNVm_UqSPMYDbvlnWUv37A,Phoenix,33.5825072,-112.1477325,Aldea,85029,12,4.5,AZ
3730,340 Av Michel-Jasmin,HLje5EanR0X1OpXugMrkBg,Dorval,45.4548228,-73.7326538,Comfort Inn,H9P 1C1,4,3.0,QC
3731,520 Fremont St,cTH7Xswl6vRg5RY0efuR5Q,Las Vegas,36.169116,-115.139599,V3 Arts,89101,3,5.0,NV
